listing_date,season,address,list_price,original_price,sold_price,house_type,bedrooms,bathrooms,dom,built_year,garage_type,sqft,lot_size,latitude,longitude,neighborhood,region
2025-05-27,Spring,"570 Walker Avenue , Winnipeg R3L 1C4",334900,334900,334900,RD,2,2,6,1909.0,none,1025.0,2200.0,0.0,0.0,Lord Roberts,Lord Roberts
2025-05-27,Spring,"1149 McMillan Avenue , Winnipeg R3M 0T7",339900,339900,339900,RD,1,2,9,1946.0,single_detachedached,700.0,4839.0,0.0,0.0,Crescentwood,Crescentwood
2025-05-27,Spring,"1026 Jessie Avenue , Winnipeg R3M 1B2",539900,539900,539900,RD,2,2,12,1927.0,double_detachedached,1250.0,4006.0,0.0,0.0,Crescentwood,Crescentwood
2025-05-27,Spring,"1125 Corydon Avenue , Winnipeg R3M 0X4",249900,249900,249900,RD,2,2,6,1946.0,single_detachedached,810.0,4839.0,0.0,0.0,Crescentwood,Crescentwood
2025-05-27,Spring,"353 Yale Avenue , Winnipeg R3M 0L5",629900,629900,629900,RD,4,4,45,1929.0,double_detachedached,3126.0,12753.0,0.0,0.0,Crescentwood,Crescentwood
2025-05-27,Spring,"451 Waverley Street , Winnipeg R3M 3K6",769000,769000,769000,RD,3,4,7,1941.0,double_detachedached,1642.0,4800.0,0.0,0.0,River Heights,River Heights
2025-05-27,Spring,"144 Borebank Street , Winnipeg R3N 1C9",424899,424899,424899,RD,3,2,13,1914.0,double_detachedached,1657.0,,0.0,0.0,River Heights North,River Heights North
2025-05-27,Spring,"603 Oak Street , Winnipeg R3M 3P9",487500,487500,487500,RD,2,1,57,1950.0,single_detachedached,1088.0,,0.0,0.0,River Heights,River Heights
2025-05-27,Spring,"440 Cordova Street , Winnipeg R3N 1A7",580000,580000,580000,RD,4,3,24,1951.0,double_detachedached,2085.0,4829.0,0.0,0.0,River Heights,River Heights
2025-05-27,Spring,"955 Queenston Bay , Winnipeg R3N 0Y3",599900,599900,599900,RD,4,3,6,1963.0,double_detachedached,1780.0,5300.0,0.0,0.0,River Heights,River Heights
2025-05-27,Spring,,899900,899900,899900,RD,4,4,10,1967.0,double_attachedached,3054.0,9746.0,0.0,0.0,Tuxedo,Tuxedo
2025-05-27,Spring,,1599000,1599000,1599000,RD,3,4,13,1998.0,double_attachedached,3403.0,11135.0,0.0,0.0,Charleswood,Charleswood
2025-05-27,Spring,,749900,749900,749900,RD,4,4,8,1974.0,double_attachedached,2136.0,7202.0,0.0,0.0,Charleswood,Charleswood
2025-05-27,Spring,"4921 Eldridge Avenue , Winnipeg R3R 0M4",499900,499900,499900,RD,3,2,7,1969.0,double_detachedached,1128.0,12007.0,0.0,0.0,Charleswood,Charleswood
2025-05-27,Spring,"533 Berkley Street , Winnipeg R3R 1K1",319900,319900,319900,RD,2,2,7,1976.0,none,1006.0,,0.0,0.0,Charleswood,Charleswood
2025-05-27,Spring,,399900,399900,399900,RD,3,1,10,1979.0,single_attachedached,1128.0,5400.0,0.0,0.0,Charleswood,Charleswood
2025-05-27,Spring,"744 Haney Street , Winnipeg R3R 0Y8",474900,474900,474900,RD,3,3,9,1972.0,double_detachedached,1329.0,9842.0,0.0,0.0,Charleswood,Charleswood
2025-05-27,Spring,"533 Charleswood Road , Winnipeg R3R 1K5",559900,559900,559900,RD,3,4,9,1982.0,double_attachedached,2043.0,10621.0,0.0,0.0,Charleswood,West
