MLS_ID,address,list_price,sold_price,house_type,bedrooms,bathrooms,dom,built_year,garage_type,Liv Area sqft,latitude,longitude,neighborhood,sqft,listing_date,season,region,original_price,lot_size
202509796,"570 Walker Avenue, Winnipeg R3L 1C4","\$334,900","\$401,570",RD,2,1.0,6,1909,Parking Pad,1025,0.0,0.0,Lord Roberts,1025.0,2025-06-11,Summer,Lord Roberts,"\$334,900",0
202509555,"1149 McMillan Avenue, Winnipeg R3M 0T7","\$339,900","\$355,000",RD,1,1.0,9,1946,Single Detached,700,0.0,0.0,Crescentwood,700.0,2025-06-11,Summer,Crescentwood,"\$339,900",0
202508543,"108 Brock Street, Winnipeg R3N 0Y4","\$724,900","\$725,000",RD,3,1.0,7,1927,Single Attached,2361,0.0,0.0,River Heights North,2361.0,2025-06-11,Summer,River Heights North,"\$724,900",0
202511580,"120 Lanark Street, Winnipeg R3N 1L1","\$399,900","\$418,500",RD,2,1.0,6,1923,Double Detached,1001,0.0,0.0,River Heights,1001.0,2025-06-11,Summer,River Heights,"\$399,900",0
202510849,"703 Brock Street, Winnipeg R3N 0Z3","\$524,900","\$518,500",RD,3,1.0,8,1953,Double Attached,1130,0.0,0.0,River Heights South,1130.0,2025-06-11,Summer,River Heights South,"\$524,900",0
202511672,"699 Oxford Street, Winnipeg R3M 3J3","\$399,900","\$494,000",RD,5,1.0,5,1957,Single Detached,1545,0.0,0.0,River Heights,1545.0,2025-06-11,Summer,River Heights,"\$399,900",0
202509406,"694 Park Boulevard S, Winnipeg R3P 0X1","\$1,549,900","\$1,450,000",RD,4,1.0,2,1982,Double Attached,3208,0.0,0.0,Tuxedo,3208.0,2025-06-11,Summer,Tuxedo,"\$1,549,900",0
202513358,"6021 Southboine Drive, Winnipeg R3R 0B5","\$970,000","\$955,000",RD,4,1.0,0,1972,Double Attached,1580,0.0,0.0,Charleswood,1580.0,2025-06-11,Summer,Charleswood,"\$970,000",0
202511061,"26 Willow Ridge Road, Winnipeg R3R 1L6","\$497,900","\$555,000",RD,4,1.0,8,1961,"Double Attached, Front Drive Access, Garage door opener",1342,0.0,0.0,Charleswood,1342.0,2025-06-11,Summer,Charleswood,"\$497,900",0
202511198,"18 Tillbrook Place, Winnipeg R3R 1W2","\$1,095,000","\$1,265,000",RD,5,1.0,9,2015,"Double Attached, Garage door opener, Insulated, Oversized, Workshop",2200,0.0,0.0,Charleswood,2200.0,2025-06-11,Summer,Charleswood,"\$1,095,000",0
202513254,"62 Civic Street, Winnipeg R3R 3M6","\$650,000","\$650,000",RD,4,1.0,0,1988,Double Attached,2051,0.0,0.0,Charleswood,2051.0,2025-06-11,Summer,Charleswood,"\$650,000",0
