MLS_ID,address,list_price,sold_price,house_type,bedrooms,bathrooms,dom,built_year,garage_type,Liv Area sqft,latitude,longitude,neighborhood,sqft,region,lot_size,listing_date,season,original_price
202509796,"570 Walker Avenue, Winnipeg R3L 1C4",0,0,RD,2,2.0,6,1909,Parking Pad,1025,0.0,0.0,Lord Roberts,1025,Lord Roberts,0.0,2025-06-11,Summer,0
202509555,"1149 McMillan Avenue, Winnipeg R3M 0T7",0,0,RD,1,2.0,9,1946,Single Detached,700,0.0,0.0,Crescentwood,700,Crescentwood,0.0,2025-06-11,Summer,0
202508543,"108 Brock Street, Winnipeg R3N 0Y4",0,0,RD,3,2.5,7,1927,Single Attached,2361,0.0,0.0,River Heights North,2361,River Heights North,0.0,2025-06-11,Summer,0
202511580,"120 Lanark Street, Winnipeg R3N 1L1",0,0,RD,2,1.0,6,1923,Double Detached,1001,0.0,0.0,River Heights,1001,River Heights,0.0,2025-06-11,Summer,0
202510849,"703 Brock Street, Winnipeg R3N 0Z3",0,0,RD,3,2.0,8,1953,Double Attached,1130,0.0,0.0,River Heights South,1130,River Heights South,0.0,2025-06-11,Summer,0
202511672,"699 Oxford Street, Winnipeg R3M 3J3",0,0,RD,5,2.0,5,1957,Single Detached,1545,0.0,0.0,River Heights,1545,River Heights,0.0,2025-06-11,Summer,0
202509406,"694 Park Boulevard S, Winnipeg R3P 0X1",0,0,RD,4,4.5,2,1982,Double Attached,3208,0.0,0.0,Tuxedo,3208,Tuxedo,0.0,2025-06-11,Summer,0
202513358,"6021 Southboine Drive, Winnipeg R3R 0B5",0,0,RD,4,3.0,0,1972,Double Attached,1580,0.0,0.0,Charleswood,1580,Charleswood,0.0,2025-06-11,Summer,0
202511061,"26 Willow Ridge Road, Winnipeg R3R 1L6",0,0,RD,4,2.0,8,1961,"Double Attached, Front Drive Access, Garage door o",1342,0.0,0.0,Charleswood,1342,Charleswood,0.0,2025-06-11,Summer,0
202511198,"18 Tillbrook Place, Winnipeg R3R 1W2",0,0,RD,5,3.5,9,2015,"Double Attached, Garage door opener, Insulated, Ov",2200,0.0,0.0,Charleswood,2200,Charleswood,0.0,2025-06-11,Summer,0
202513254,"62 Civic Street, Winnipeg R3R 3M6",0,0,RD,4,2.5,0,1988,Double Attached,2051,0.0,0.0,Charleswood,2051,Charleswood,0.0,2025-06-11,Summer,0
202510475,"617 Coventry Road, Winnipeg R3R 1B5",0,0,RD,3,2.0,8,1970,"Front Drive Access, Parking Pad",1097,0.0,0.0,Charleswood,1097,Charleswood,0.0,2025-06-11,Summer,0
202510632,"179 Joynson Crescent, Winnipeg R3R 3Y4",0,0,RD,4,3.0,6,2019,"Double Attached, Insulated",1440,0.0,0.0,Charleswood,1440,Charleswood,0.0,2025-06-11,Summer,0
202509056,"7 Alora Cove, Winnipeg R3R 4A3",0,0,RD,3,2.5,21,2024,Double Attached; Enclsd: 2,1496,0.0,0.0,Charleswood,1496,Charleswood,0.0,2025-06-11,Summer,0
202507919,"167 Joynson Crescent, Winnipeg R3R 2W9",0,0,RD,5,3.5,7,2019,Double Attached,1851,0.0,0.0,Charleswood,1851,Charleswood,0.0,2025-06-11,Summer,0
202510691,"107 Yellow Rail Crescent, Winnipeg R3R 3Z3",0,0,RD,5,3.5,8,2022,"Double Attached, Front Drive Access",1661,0.0,0.0,Charleswood,1661,Charleswood,0.0,2025-06-11,Summer,0
202511232,"144 Wildwood C Park, Winnipeg R3T 0E1",0,0,RD,5,3.5,7,1947,"Single Detached, Oversized",2124,0.0,0.0,Wildwood,2124,Wildwood,0.0,2025-06-11,Summer,0
202511512,"136 Wildwood C Park, Winnipeg R3T 0E1",0,0,RD,3,1.5,7,1947,Double Detached,1152,0.0,0.0,Wildwood,1152,Wildwood,0.0,2025-06-11,Summer,0
202510960,"921 Merriam Boulevard, Winnipeg R3T 0V2",0,0,RD,4,2.0,10,1946,Single Detached,1387,0.0,0.0,East Fort Garry,1387,East Fort Garry,0.0,2025-06-11,Summer,0
202506093,"1030 Howard Avenue, Winnipeg R3T 1S2",0,0,RD,2,1.0,49,1954,Single Detached,720,0.0,0.0,West Fort Garry,720,West Fort Garry,0.0,2025-06-11,Summer,0
202508419,"3 St Edmund's Bay, Winnipeg R3T 3M5",0,0,RD,4,3.0,33,1971,Double Attached,nan,0.0,0.0,Fort Richmond,0,Fort Richmond,0.0,2025-06-11,Summer,0
202511366,"43 Celtic Bay, Winnipeg R3T 2W8",0,0,RD,6,2.5,7,1965,"Single Detached, Carport",1058,0.0,0.0,Fort Richmond,1058,Fort Richmond,0.0,2025-06-11,Summer,0
202505563,"90 Kings Drive, Winnipeg R3T 3E5",0,0,RD,2,1.0,35,1941,"Single Attached, Front Drive Access",1131,0.0,0.0,Fort Richmond,1131,Fort Richmond,0.0,2025-06-11,Summer,0
202509727,"7 Grimston Road, Winnipeg R3T 3T2",0,0,RD,5,2.0,6,1975,"Front Drive Access, Parking Pad, Plug-In",1204,0.0,0.0,Fort Richmond,1204,Fort Richmond,0.0,2025-06-11,Summer,0
202511307,"1002 Chancellor Drive, Winnipeg R3T 4S1",0,0,SA,3,1.5,7,1978,Parking Pad,1156,0.0,0.0,Waverley Heights,1156,Waverley Heights,0.0,2025-06-11,Summer,0
202513203,"48 East Lake Drive, Winnipeg R3T 4V5",0,0,SA,3,2.0,0,1979,Front Drive Access,800,0.0,0.0,Waverley Heights,800,Waverley Heights,0.0,2025-06-11,Summer,0
202509388,"23 Wankling Court, Winnipeg R3P 2P8",0,0,RD,3,2.0,8,2006,"Double Attached, Front Drive Access, Garage door o",2473,0.0,0.0,Linden Woods,2473,Linden Woods,0.0,2025-06-11,Summer,0
202511322,"118 Prairie Sky Drive, Winnipeg R3Y 0G6",0,0,RD,5,3.5,7,2011,Double Attached,2171,0.0,0.0,South Pointe,2171,South Pointe,0.0,2025-06-11,Summer,0
