26 Willow Ridge Road, Winnipeg R3R 1L6
18 Tillbrook Place, Winnipeg R3R 1W2
62 Civic Street, Winnipeg R3R 3M6
617 Coventry Road, Winnipeg R3R 1B5
179 Joynson Crescent, Winnipeg R3R 3Y4
7 Alora Cove, Winnipeg R3R 4A3
167 Joynson Crescent, Winnipeg R3R 2W9
107 Yellow Rail Crescent, Winnipeg R3R 3Z3
144 Wildwood C Park, Winnipeg R3T 0E1
136 Wildwood C Park, Winnipeg R3T 0E1
921 Merriam Boulevard, Winnipeg R3T 0V2
1030 Howard Avenue, Winnipeg R3T 1S2
3 St Edmund's Bay, Winnipeg R3T 3M5
43 Celtic Bay, Winnipeg R3T 2W8
90 Kings Drive, Winnipeg R3T 3E5
7 Grimston Road, Winnipeg R3T 3T2
1002 Chancellor Drive, Winnipeg R3T 4S1
48 East Lake Drive, Winnipeg R3T 4V5
23 Wankling Court, Winnipeg R3P 2P8
118 Prairie Sky Drive, Winnipeg R3Y 0G6
118 Fossil Creek Crescent, Winnipeg R3Y 2J9
120 Lindenshore Drive , Winnipeg R3P 2M9
15 Leander Crescent , Winnipeg R3Y 1W5
147 Apple Hill Road , Winnipeg R3Y 1A3
116 Le Maire Street , Winnipeg R3V 1C9
281 Appleford Gate , Winnipeg R3Y 0S5
131 Lake Bend Road , Winnipeg R3Y 0M4
8500 Roblin Boulevard , Headingley R4J 1B3
219 Dumoulin Street , Winnipeg R2H 0E4
41 West Fernwood Avenue , Winnipeg R2M 1W7
50 Tyrone Bay , Winnipeg R2M 4R2
20 Cunnington Avenue , Winnipeg R2M 0W5
366 Riel Avenue , Winnipeg R2M 4P1
107 Hindley Avenue , Winnipeg R2M 1P6
299 Redwood Avenue , Winnipeg R2W 1S1
648 Niagara Street , Winnipeg R3N 0V4
502 Kingsford Avenue , Winnipeg R2G 0K2
10 Inman Avenue , Winnipeg R2M 0R5
15 Worthington Avenue , Winnipeg R2M 1G6
25 Sadler Avenue , Winnipeg R2M1N6
46 John Neufeld Crescent , Winnipeg R3T 2W8
136 Wildwood C Park , Winnipeg R3T 0E1
91 Gemini Avenue , Winnipeg R2G 0T7
32 Stone Meadow Road , Winnipeg R3Y 1S4
4921 Eldridge Avenue , Winnipeg R3R 0M4
405 Churchill Drive , Winnipeg R3L 1W2
853 Nassau Street S, Winnipeg R3L 2N1
324 Morley Avenue , Winnipeg R3L 0Y5
515 Wardlaw Avenue , Winnipeg R3L 0L9
724 Ebby Avenue , Winnipeg R3M 2H6
866 Garwood Avenue , Winnipeg R3M 1N5
1229 Corydon Avenue , Winnipeg R3M 0X6
341 Oxford Street , Winnipeg R3M 3H9
768 Borebank Street , Winnipeg R3N 1G4
870 Borebank Street , Winnipeg R3N 1G6
674 Waverley Street , Winnipeg R3M 3L6
520 Centennial Street , Winnipeg R3N 1P9
1564 Mathers Bay W, Winnipeg R3N 0T7
779 Renfrew Street , Winnipeg R3N 1K3
141 Park Place W, Winnipeg R3P 2C8
857 Community Row , Winnipeg R3R 1H9
106 Epsom Crescent , Winnipeg R3R 0X2
821 Laxdal Road , Winnipeg R3R 1V7
381 Glenbush Street , Winnipeg R2Y 0N1
54 Cadiz Bay , Winnipeg R3R 2M7
634 Fairmont Road , Winnipeg R3R 1B1
607 Dieppe Road , Winnipeg R3R 1C5
134 Robindale Road , Winnipeg R3R 1G7
82 Bergman Crescent , Winnipeg R3R 1Z7
27 O’Brien Crescent , Winnipeg R3R 1M5
73 Kestrel Way , Winnipeg R3R 3Y7
34 Kowalsky Crescent , Winnipeg R3R 3A8
10 Neptune Bay , Winnipeg R3T 0Z7
1462 Mars Drive , Winnipeg R3T 1E9
71 Loyola Bay , Winnipeg R3P 0T3
43 Macalester Bay , Winnipeg R3T 2X6
71 Bryn Mawr Road , Winnipeg R3T 3K3
73 Kestrel Way , Winnipeg R3R 3Y7
34 Kowalsky Crescent , Winnipeg R3R 3A8
10 Neptune Bay , Winnipeg R3T 0Z7
1462 Mars Drive , Winnipeg R3T 1E9
71 Loyola Bay , Winnipeg R3P 0T3
43 Macalester Bay , Winnipeg R3T 2X6
