listing_date,season,mls_number,neighborhood,address,list_price,sold_price,sell_list_ratio,dom,bedrooms,bathrooms,garage_type,basement,house_type,style,type,sqft,lot_size
2025-07-02,Summer,e29cc5f9c5,Riverview,34 Arnold Avenue 405 Churchill Drive 211 Morley Avenue,0.0,0.0,0.0,0,0,3.0,"plug-in, rear drive access double detached no garage, parking pad",0,Single Family Detached,"Bungalow, Two Storey, One and a Half",Single Family Detached,840,0.0
2025-07-02,Summer,20250908,Riverview,25 SF 50 SF 25 SF Depth 100 SF 168 SF 100 SF Site Influence Back Lane,289900.0,300000.0,1.03,7,0,1.0,none,Unknown,Single Family Detached,Other,Other,100,0.0
2025-07-02,Summer,20250811,Riverview,228 Balfour Avenue 271 Wavell Avenue 235 Clare Avenue,349000.0,462500.0,1.33,7,0,4.0,double detached single detached single detached,46,Single Family Detached,"Bungalow, One and a Half",Single Family Detached,860,46.45
2025-07-02,Summer,20250745,Riverview,301 Ashland Avenue 223 Bartlet Avenue 228 Clare Avenue,589900.0,689301.0,1.17,10,0,4.0,double attached double detached single detached,0,Single Family Detached,"Bungalow, One and a Half, Bi-Level",Single Family Detached,1354,0.0
2025-07-02,Summer,20250517,Riverview,231 Montgomery Avenue 174 Montgomery Avenue 148 Morley Avenue,399900.0,475000.0,1.19,8,0,3.0,"double detached, oversized, single detached, garage door other remarks",0,Single Family Detached,"Bungalow, Other",Single Family Detached,864,0.0
2025-07-02,Summer,20250424,Riverview,315 Ashland Avenue 231 Balfour Avenue 222 Balfour Avenue,419900.0,390000.0,0.93,22,0,3.0,"single detached single detached, parking pad single detached, carport",0,Single Family Detached,"Bungalow, Two Storey, Other",Single Family Detached,1330,0.0
2025-07-02,Summer,20250330,Riverview,116 Clare Avenue 310 Maplewood Avenue,388000.0,452000.0,1.16,5,0,3.0,"plug-in double detached, rear drive double detached",41,Single Family Detached,"Two Storey, One and a Half, Other",Single Family Detached,1227,41.99
2025-07-02,Summer,20250153,Riverview,316 Baltimore Road 137 Ashland Avenue 554 McNaughton Avenue,569900.0,624000.0,1.09,9,0,3.0,"carport triple detached double detached, oversized,",0,Single Family Detached,"Two Storey, One and a Half",Single Family Detached,2375,0.0
2025-07-02,Summer,20242771,Riverview,356 Ashland Avenue 636 Jubilee Avenue 24 Morley Avenue,419900.0,450000.0,1.07,10,0,2.0,"double detached parking pad, rear drive access single attached, heated,",0,Single Family Detached,"Bungalow, Two Storey, Other",Single Family Detached,1226,0.0
2025-07-02,Summer,20251085,Lord Roberts,192 Arnold Avenue 853 Nassau Street S 324 Morley Avenue,269900.0,260000.0,0.96,38,0,3.0,"parking pad carport, rear drive access rear drive access, unpaved",0,Single Family Detached,"Bungalow, One and a Half",Single Family Detached,1080,0.0
2025-07-02,Summer,20250979,Lord Roberts,770 Walker Avenue 728 Walker Avenue 339 Arnold Avenue,319899.0,331000.0,1.03,13,0,2.0,"double detached, insulated, no garage, rear drive access single detached",0,Single Family Detached,"Bungalow, One and a Half",Single Family Detached,1147,0.0
2025-07-02,Summer,20250814,Lord Roberts,570 Walker Avenue 489 Rathgar Avenue 592 Hethrington Avenue,334900.0,401570.0,1.2,6,0,3.0,"parking pad, plug-in, unpaved parking pad, plug-in, rear drive single detached, parking pad,",0,Single Family Detached,"Bungalow, Two Storey",Single Family Detached,1025,0.0
2025-07-02,Summer,20250647,Lord Roberts,480 Beresford Avenue 565 Beresford Avenue 473 Beresford Avenue,219900.0,195000.0,0.89,34,0,3.0,"rear drive access single detached, garage door double detached",0,Single Family Detached,"Bungalow, Two Storey, Other",Single Family Detached,1072,0.0
2025-07-02,Summer,20250567,Lord Roberts,567 McNaughton Avenue 777 Rathgar Avenue 307 Morley Avenue,399900.0,571000.0,1.43,13,0,3.0,double detached single detached rear drive access,0,Single Family Detached,"Bungalow, One and a Half, Other",Single Family Detached,1340,0.0
2025-07-02,Summer,20250484,Lord Roberts,590 Walker Avenue 5 Taft Crescent 481 Rosedale Avenue,349900.0,388389.0,1.11,7,0,3.0,"parking pad front drive access, parking pad parking pad",0,Single Family Detached,Two Storey,"Single Family Detached, Townhouse",1260,0.0
2025-07-02,Summer,20250340,Lord Roberts,439 Morley Avenue 744 Walker Avenue 311 Arnold Avenue,269900.0,326500.0,1.21,7,0,3.0,parking pad single detached parking pad,0,Single Family Detached,"Two Storey, One and a Half, Other",Single Family Detached,1000,0.0
2025-07-02,Summer,4c90933f41,Riverview,462 Arnold Avenue 557 Rosedale Avenue 409 Morley Avenue,0.0,0.0,0.0,0,0,2.0,"double detached, garage door parking pad plug-in, rear drive access",81,Single Family Detached,"Bungalow, Two Storey",Single Family Detached,963,81.75
2025-07-02,Summer,20250341,Lord Roberts,25 SF 30 SF 25 SF Depth 100 SF 125 SF 100 SF Site Influence Back Lane,299900.0,375000.0,1.25,6,0,1.0,none,Unknown,Single Family Detached,Other,Other,100,0.0
2025-07-02,Summer,20250153,Lord Roberts,682 Beresford Avenue 299 Arnold Avenue 575 Walker Avenue,229800.0,211000.0,0.92,9,0,1.0,"single detached, parking pad, parking pad single detached, garage door",0,Single Family Detached,"Bungalow, Two Storey",Single Family Detached,1056,0.0
2025-07-02,Summer,0e0bf4e440,Riverview,450 Arnold Avenue 553 Rathgar Avenue 507 Hethrington Avenue,0.0,0.0,0.0,0,0,2.0,"parking pad single detached parking pad, rear drive access",0,Single Family Detached,"Bungalow, One and a Half, Other",Single Family Detached,688,0.0
2025-07-02,Summer,20250095,Lord Roberts,0 SF 33 SF 25 SF Depth 0 SF 88 SF 100 SF Site Influence Back Lane,229900.0,250000.0,1.09,7,0,1.0,none,Unknown,Single Family Detached,Other,Other,100,0.0
2025-07-02,Summer,abd081fff4,Lord Roberts,324 Morley Avenue 572 Hethrington Avenue 481 Hethrington Avenue,0.0,0.0,0.0,0,0,3.0,"parking pad rear drive access single detached, rear drive",0,Single Family Detached,"Two Storey, One and a Half, Bi-Level, Other",Single Family Detached,1058,0.0
2025-07-02,Summer,20242792,Lord Roberts,25 SF 25 SF 0 SF Depth 100 SF 100 SF 0 SF Site Influence Paved Street,159900.0,150000.0,0.94,1,0,1.0,none,Unknown,Single Family Detached,Other,Other,100,0.0
2025-07-02,Summer,d0e927786f,Lord Roberts,560 Beresford Avenue 606 Rosedale Avenue 305 Morley Avenue,0.0,0.0,0.0,0,0,3.0,"rear drive access single detached parking pad, rear drive access",0,Single Family Detached,"Bungalow, One and a Half",Single Family Detached,925,0.0
2025-07-02,Summer,20251349,Osborne Village,25 SF 25 SF 25 SF Depth 125 SF 100 SF Site Influence Back Lane,179900.0,191000.0,1.06,6,0,1.0,none,Unknown,Single Family Detached,Other,Other,125,0.0
2025-07-02,Summer,20251291,Crescentwood,515 Wardlaw Avenue 940 Garwood Avenue 866 Garwood Avenue,599990.0,600000.0,1.0,0,0,2.0,"single detached, parking pad single detached single detached, garage door",0,Single Family Detached,"Bungalow, One and a Half",Single Family Detached,2018,0.0
2025-07-02,Summer,20250955,Crescentwood,814 Dudley Avenue 768 Garwood Avenue 569 Fleet Avenue,339900.0,345000.0,1.02,15,0,3.0,"single detached, carport single detached no garage, rear drive access",0,Single Family Detached,"Bungalow, Two Storey, One and a Half, Raised Bungalow, Other",Single Family Detached,1200,0.0
2025-07-02,Summer,695e82bc52,Crescentwood,1149 McMillan Avenue 724 Ebby Avenue 364 Lilac Street,0.0,0.0,0.0,0,0,3.0,"single detached single detached, rear drive double detached",0,Single Family Detached,"Bungalow, Two Storey, Other",Single Family Detached,700,0.0
2025-07-02,Summer,20250705,Osborne Village,40 SF 37 SF 25 SF Depth 121 SF 100 SF 100 SF Site Influence Back Lane,339900.0,355000.0,1.04,9,0,1.0,none,Unknown,Single Family Detached,Other,Other,121,0.0
2025-07-02,Summer,20250793,Osborne Village,805 Dudley Avenue 742 Weatherdon Avenue 119 Norquay Street,349900.0,486805.0,1.39,7,0,3.0,"single detached parking pad parking pad, rear drive access",0,Single Family Detached,"One and a Half, Other",Single Family Detached,1120,0.0
2025-07-02,Summer,20250755,Crescentwood,608 Fleet Avenue 593 Fleet Avenue 790 Dorchester Avenue,349800.0,430000.0,1.23,9,0,5.0,single detached parking pad single detached,0,Single Family Detached,"Bungalow, One and a Half, Other",Single Family Detached,991,0.0
2025-07-02,Summer,20250639,Osborne Village,857 Lorette Avenue 791 Lorette Avenue 734 Dudley Avenue,279900.0,275000.0,0.98,36,0,3.0,"parking pad double detached, oversized, double detached",0,Single Family Detached,"One and a Half, Other",Single Family Detached,880,0.0
2025-07-02,Summer,20250520,Osborne Village,575 Fleet Avenue 836 Hector Avenue 114 Bryce Street,179900.0,240000.0,1.33,7,114,3.0,parking pad double detached other remarks,0,Single Family Detached,"Two Storey, One and a Half, Other",Single Family Detached,1200,0.0
2025-07-02,Summer,20250451,Osborne Village,803 DUDLEY Avenue 600 Fleet Avenue 570 Gertrude Avenue,389900.0,453500.0,1.16,6,0,3.0,"rear drive access single detached, parking pad, double detached",0,Single Family Detached,"Bungalow, Two Storey, Other",Single Family Detached,1260,0.0
2025-07-02,Summer,20250169,Osborne Village,724 Mulvey Avenue 755 Ebby Avenue 519 McMillan Avenue,399900.0,491250.0,1.23,6,0,4.0,"double detached, garage door parking pad, plug-in, rear drive single detached, other remarks",0,Single Family Detached,"Two Storey, Other",Single Family Detached,1128,0.0
2025-07-02,Summer,20250327,Crescentwood,731 Scotland Avenue 117 Norquay Street 1112 Dudley Avenue,169900.0,168000.0,0.99,7,0,2.0,"rear drive access single detached single detached, heated,",0,Single Family Detached,"Bungalow, One and a Half, Other",Single Family Detached,653,0.0
2025-07-02,Summer,20250196,Osborne Village,604 Warsaw Avenue 858 Fleet Avenue 638 McMillan Avenue,264900.0,264000.0,1.0,4,0,4.0,"rear single detached, parking pad parking pad, rear drive access",0,Single Family Detached,"Two Storey, One and a Half, Other",Single Family Detached,920,0.0
2025-07-02,Summer,d029882488,Osborne Village,763 Hector Avenue 788 Fleet Avenue 469 Gertrude Avenue,0.0,0.0,0.0,0,0,5.0,"double detached, garage door single detached parking pad",0,Single Family Detached,Bi-Level,Single Family Detached,890,0.0
2025-07-02,Summer,20242795,Crescentwood,25 SF 0 SF 0 SF Depth 100 SF 0 SF 0 SF Site Influence Back Lane,464900.0,452500.0,0.97,22,0,1.0,none,Unknown,Single Family Detached,Other,Other,100,0.0
2025-07-02,Summer,20251137,Crescentwood,1131 Corydon Avenue 1229 Corydon Avenue 1074 Hector Bay,359900.0,340000.0,0.94,9,0,3.0,"single detached plug-in, rear drive access parking pad, plug-in, paved",0,Single Family Detached,"Bungalow, Two Storey, One and a Half",Single Family Detached,1248,0.0
2025-07-02,Summer,a466d7ca58,Osborne Village,1024 Fleet Avenue,309900.0,390000.0,1.26,8,0,2.0,single detached,0,Single Family Detached,One and a Half,Single Family Detached,950,0.0
2025-07-02,Summer,0c2c0d5d41,Loose Area,494 Jubilee Avenue 485 Jubilee Avenue 853 Nassau Street,0.0,0.0,0.0,0,0,2.0,"single detached, parking pad double detached, garage door carport, rear drive access",0,Single Family Detached,"Bungalow, Two Storey, One and a Half, Other",Single Family Detached,1280,0.0
2025-07-02,Summer,20251349,Osborne Village,50 SF 25 SF Depth 162 SF 100 SF Site Influence Back Lane,329900.0,471494.0,1.43,7,0,1.0,none,Unknown,Single Family Detached,Other,Other,162,0.0
2025-07-02,Summer,20251291,Crescentwood,515 Wardlaw Avenue 1034 Dorchester Avenue 940 Garwood Avenue,599990.0,600000.0,1.0,0,0,6.0,"single detached, parking pad single detached, oversized single detached",0,Single Family Detached,One and a Half,Single Family Detached,2018,0.0
2025-07-02,Summer,20250638,Crescentwood,814 Dudley Avenue 818 Mulvey Avenue 693 Ebby Avenue,339900.0,345000.0,1.02,15,0,3.0,"single detached, carport parking pad single detached",0,Single Family Detached,One and a Half,Single Family Detached,1200,0.0
2025-07-02,Summer,2e90c21e37,Crescentwood,654 McMillan Avenue 997 Mulvey Avenue 735 Ebby Avenue,0.0,0.0,0.0,0,0,3.0,double detached single detached single detached,0,Single Family Detached,"Bungalow, One and a Half, Other",Single Family Detached,1250,0.0
2025-07-02,Summer,20251545,River Heights,25 SF 39 SF 37 SF Depth 120 SF 107 SF 102 SF Site Influence Back Lane,369900.0,362000.0,0.98,66,0,1.0,none,Unknown,Single Family Detached,Other,Other,120,0.0
2025-07-02,Summer,20251402,River Heights,243 Beaverbrook Street 230 Waverley Street 117 Renfrew Street,310000.0,305000.0,0.98,0,0,2.0,"single detached double attached, parking pad single detached",0,Single Family Detached,"Bungalow, One and a Half",Single Family Detached,1000,0.0
2025-07-02,Summer,20251302,River Heights,375 Campbell Street 434 Lanark Street 180 Oxford Street,389900.0,455375.0,1.17,8,0,4.0,"single detached, parking pad single detached double detached, tandem",0,Single Family Detached,"Bungalow, Two Storey, Other",Single Family Detached,907,0.0
2025-07-02,Summer,832e713414,Loose Area,258 Lindsay Street 962 Lindsay Street 652 Niagara Street,0.0,0.0,0.0,0,0,4.0,"double detached single detached, oversized double detached",0,Single Family Detached,Two Storey,Single Family Detached,1652,0.0
2025-07-02,Summer,20251462,River Heights,25 SF 52 SF 40 SF Depth 120 SF 120 SF Site Influence Back Lane,769800.0,760000.0,0.99,13,0,1.0,none,Unknown,Single Family Detached,Other,Other,120,0.0
2025-07-02,Summer,20251362,Tuxedo,676 Montrose Street 860 Campbell Street 768 Borebank Street,414900.0,431000.0,1.04,6,0,4.0,double detached double detached double detached,0,Single Family Detached,Bungalow,Single Family Detached,1064,0.0
2025-07-02,Summer,20251353,Tuxedo,610 Lindsay Street 629 Oak Street 219 Portsmouth Boulevard,439900.0,435000.0,0.99,14,0,4.0,single detached double detached multiple attached,0,Single Family Detached,"Bungalow, Two Storey",Single Family Detached,1130,0.0
2025-07-02,Summer,20251454,Charleswood,128 Park Place E 2221 West Taylor Boulevard 308 Barker Boulevard,599900.0,733250.0,1.22,6,0,3.0,double attached double attached front drive access,120,Single Family Detached,"Bungalow, Other",Single Family Detached,1500,120.77
2025-07-02,Summer,20251447,Charleswood,12 Horseshoe Bay 549 Greenbrier Avenue,529900.0,527500.0,1.0,1,0,3.0,"single attached double detached, front drive double detached, front drive",0,Single Family Detached,"Bungalow, Bi-Level, Other",Single Family Detached,1691,0.0
2025-07-02,Summer,20251393,Charleswood,762 Buckingham Road 106 Epsom Crescent,649900.0,721762.0,1.11,7,0,4.0,"double attached, oversized, double attached, front drive double detached",0,Single Family Detached,"Bungalow, Two Storey, Other",Single Family Detached,2064,0.0
2025-07-02,Summer,20251376,Charleswood,81 Kestrel Way 26 Cadiz Bay 256 Cullen Drive,649900.0,649900.0,1.0,9,0,2.0,"double attached, insulated front drive access, no garage front drive access",0,Single Family Detached,"Two Storey, Bi-Level",Single Family Detached,2121,0.0
2025-07-02,Summer,20251147,East Fort Garry,19 Hofsted Drive 7 Cassowary Lane 918 Merriam Boulevard,649000.0,716000.0,1.1,7,0,5.0,"double attached single attached, front drive single detached",0,Single Family Detached,"Bungalow, Two Storey",Single Family Detached,2053,0.0
2025-07-02,Summer,20251472,Loose Area,821 Somerset Avenue 50 Fletcher Crescent 10 Neptune Bay,299900.0,320000.0,1.07,8,0,3.0,"single detached, garage door single detached single detached",0,Single Family Detached,Bungalow,Single Family Detached,901,0.0
2025-07-02,Summer,20251280,Loose Area,608 Dalhousie Drive,438000.0,418888.0,0.96,9,0,6.0,single attached single attached front drive access,0,Single Family Detached,"Bungalow, Two Storey",Single Family Detached,1065,0.0
2025-07-02,Summer,20251355,Linden Woods,43 Agassiz Drive 48 Greensboro Bay 55 Greensboro Bay,499900.0,476000.0,0.95,17,0,4.0,"double attached, front drive single attached double attached",0,Single Family Detached,"Bungalow, Two Storey, Other",Single Family Detached,1350,0.0
2025-07-02,Summer,20251460,Linden Woods,1041 Chancellor Drive 101 Queen's Park Crescent,469900.0,465000.0,0.99,16,0,3.0,double attached double attached,111,Single Family Detached,Two Storey,Single Family Detached,1580,111.48
2025-07-02,Summer,20251422,Linden Woods,3 Ocean Ridge Drive 6 Eaglemount Crescent 71 Marksbridge Drive,649900.0,690000.0,1.06,3,0,4.0,double attached double attached double attached,0,Single Family Detached,"Bungalow, Two Storey",Single Family Detached,1720,0.0
2025-07-02,Summer,20251383,Linden Woods,34 Hawkesbury Crescent 132 Brentcliffe Drive 105 Lindenwood Drive,699900.0,790000.0,1.13,6,132,3.0,"double attached double attached double attached, front drive",0,Single Family Detached,"Bungalow, Two Storey",Single Family Detached,2369,0.0
2025-07-02,Summer,20251465,Loose Area,42 Deer Run Drive 38 Royal York Drive 156 Marygrove Crescent,624900.0,650000.0,1.04,8,0,5.0,"double attached double attached, garage door double attached, front drive",0,Single Family Detached,"Bungalow, Two Storey, Bi-Level, Other",Single Family Detached,1885,0.0
2025-07-02,Summer,20251338,Osborne Village,223 Fleetwood Road 104 Cedar Glen Road 130 La Porte Drive,529900.0,521888.0,0.98,17,0,3.0,"double attached double attached, front drive double attached, garage door",0,Single Family Detached,"Bungalow, Two Storey",Single Family Detached,1524,0.0
2025-07-02,Summer,20251343,Loose Area,256 Brookfield Crescent,539900.0,601000.0,1.11,8,256,3.0,"double detached, parking pad double attached double detached, garage door",0,Single Family Detached,"Bungalow, Two Storey, Other",Single Family Detached,1570,0.0
2025-07-02,Summer,20251302,Loose Area,219 BELL GARDENS Cove 28 Hughes Crescent,479999.0,490000.0,1.02,11,0,4.0,"single attached double attached, front drive double attached",0,Single Family Detached,"Bungalow, Two Storey",Single Family Detached,1387,0.0
2025-07-02,Summer,20251291,Loose Area,216 Park East Drive 143 Brookfield Crescent,458000.0,458000.0,1.0,15,143,6.0,"carport, parking pad double detached double attached",0,Single Family Detached,"Bungalow, Two Storey","Single Family Detached, Townhouse",1492,0.0
2025-07-02,Summer,20250989,Richmond West,688 Bridge Lake Drive,589900.0,585000.0,0.99,18,688,5.0,"double detached, garage door double attached double detached",0,Single Family Detached,"Two Storey, Other",Single Family Detached,1560,0.0
2025-07-02,Summer,20250653,Richmond West,63 BRIDGEHAMPTON Bay 46 Karschuk Bay 169 Brentlawn Boulevard,749900.0,725000.0,0.97,70,63,5.0,"double attached double attached, front drive double attached",0,Single Family Detached,"Bungalow, Two Storey",Single Family Detached,2136,0.0
2025-07-02,Summer,20251442,St Boniface,55 Allendale Drive 100 Kinlock Lane 99 Wayfield Drive,439900.0,470000.0,1.07,6,0,3.0,"single attached, front drive double attached, front drive front drive access, garage door",0,Single Family Detached,"Bungalow, Two Storey",Single Family Detached,975,0.0
2025-07-02,Summer,20251295,St Boniface,460 Louis Riel Street 87 Des Intrepides Promenade 464 Langevin Street,379900.0,392000.0,1.03,8,0,4.0,double detached double attached double detached,0,Single Family Detached,"Bungalow, Two Storey, One and a Half, Raised Bungalow",Single Family Detached,1108,0.0
2025-07-02,Summer,20251373,St Boniface,550 Ritchot Street 924 Lagimodiere Boulevard 226 Des Meurons Street,449900.0,449900.0,1.0,8,0,2.0,"single detached, heated double detached, garage door single detached, garage door",0,Single Family Detached,"Bungalow, Other",Single Family Detached,1650,0.0
2025-07-02,Summer,bfa9efd995,Loose Area,256 Thomas Berry Street 425 Jeanne D'arc Street 174 Ferndale Avenue,0.0,0.0,0.0,0,0,2.0,"single detached, garage door single detached, parking pad parking pad",0,Single Family Detached,"Bungalow, One and a Half, Other",Single Family Detached,712,0.0
2025-07-02,Summer,20251497,Norwood,25 SF 45 SF 33 SF Depth 105 SF 0 SF Site Influence Back Lane,209900.0,220000.0,1.05,11,0,1.0,none,Unknown,Single Family Detached,Other,Other,105,0.0
2025-07-02,Summer,4f7959c9c8,Loose Area,556 Tremblay Street,269900.0,302000.0,1.12,6,0,2.0,double detached,0,Single Family Detached,Bungalow,Single Family Detached,654,0.0
2025-07-02,Summer,20250138,Richmond West,867 Bairdmore Boulevard 62 Colebrook Drive 1114 Colby Avenue,379800.0,410000.0,1.08,8,0,4.0,"drive access, parking pad double attached double attached, front drive",0,Single Family Detached,"Two Storey, Other",Single Family Detached,1268,0.0
2025-07-02,Summer,20242716,Richmond West,1066 Lee Boulevard 23 Isleview Place,539900.0,537000.0,0.99,9,0,3.0,double detached double attached double attached,0,Single Family Detached,"Bungalow, Two Storey, Bi-Level",Single Family Detached,1430,0.0
2025-07-02,Summer,20251061,Deer Pointe,127 Bairdmore Boulevard 36 Raphael Street 369 WESCANA Street,579000.0,550000.0,0.95,49,0,5.0,"double attached double attached triple attached, front & rear",0,Single Family Detached,"Bungalow, Two Storey, Other",Single Family Detached,1657,0.0
2025-07-02,Summer,20250579,Deer Pointe,84 Deer Pointe Drive 8500 Roblin Boulevard 155 Grange Street,1588000.0,2050000.0,1.29,6,0,4.0,"attached, paved driveway multiple detached, front drive triple detached",158,Single Family Detached,"Bungalow, Two Storey",Single Family Detached,2224,158.49
2025-07-02,Summer,20250457,Headingley South,242 ALBORO Street 42 AUGUSTA Drive,569900.0,652000.0,1.14,9,0,3.0,"double attached, insulated triple attached, front drive triple attached, front drive",0,Single Family Detached,"Bungalow, Two Storey, Other",Single Family Detached,1800,0.0
2025-07-02,Summer,20250385,Headingley South,14 Kemper Crescent 490 SEEKINGS Street 7850 Roblin Boulevard,429900.0,508777.0,1.18,8,0,5.0,"single attached, front drive double attached, carport, double detached, garage door",61,Single Family Detached,"Bungalow, Two Storey, Bi-Level, Other",Single Family Detached,1310,61.32
2025-07-02,Summer,20242395,Headingley South,28 Ash Cove 62 Woodland Lane,1249000.0,1200000.0,0.96,47,0,3.0,"attached, garage door triple attached, front drive triple attached",0,Single Family Detached,"Bungalow, Two Storey",Single Family Detached,2700,0.0
2025-07-02,Summer,8a86b728ce,Loose Area,38 Woodland Lane 33 Grange Street,0.0,0.0,0.0,0,0,3.0,attached triple attached double attached,0,Single Family Detached,"Bungalow, Two Storey, Other",Single Family Detached,1900,0.0
2025-07-02,Summer,20251364,St Boniface,140 SF 483 SF Depth 392 SF Site Influence Paved Street,999900.0,1024920.0,1.03,162,0,1.0,none,Unknown,Single Family Detached,Other,Other,140,0.0
2025-07-02,Summer,20251122,St Boniface,520 St Jean Baptiste Street 269 Dumoulin Street,629900.0,650000.0,1.03,6,0,3.0,"double detached single detached, garage door rear drive access",65,Single Family Detached,"Bungalow, Two Storey, Bi-Level, Other",Single Family Detached,1936,65.96
2025-07-02,Summer,20251034,St Boniface,466 Aulneau Street 315 Dumoulin Street 219 Dumoulin Street,499900.0,455000.0,0.91,15,0,3.0,"double detached, garage door double detached, garage door double detached, garage door",0,Single Family Detached,"Bungalow, Two Storey, Other",Single Family Detached,2612,0.0
2025-07-02,Summer,20250806,St Boniface,394 St Jean Baptiste Street 552 Cherrier Street 142 Masson Street,449900.0,451000.0,1.0,8,0,3.0,"double detached parking pad double detached, insulated",30,Single Family Detached,"Bungalow, Two Storey, Other",Single Family Detached,1626,30.19
2025-07-02,Summer,20250709,St Boniface,147 Kitson Street 298 Youville Street 538 Langevin Street,299900.0,400000.0,1.33,8,0,2.0,"single detached, parking pad double detached single detached",0,Single Family Detached,"Bungalow, Other",Single Family Detached,920,0.0
2025-07-02,Summer,20250703,St Boniface,210 Dollard Boulevard 544 De La Morenie Street 526 Giroux Street,449900.0,501000.0,1.11,8,0,2.0,"double detached, oversized double detached, garage door double detached",0,Single Family Detached,"Bungalow, Two Storey, One and a Half, Other",Single Family Detached,1335,0.0
2025-07-02,Summer,20250579,St Boniface,447 Langevin Street 127 Archibald Street 149 Masson Street,329900.0,327000.0,0.99,8,0,2.0,single detached no garage parking pad,0,Single Family Detached,"Bungalow, One and a Half",Single Family Detached,728,0.0
2025-07-02,Summer,20250509,St Boniface,517 Ritchot Street 427 Louis Riel Street 376 Deschambault Street,309900.0,375000.0,1.21,8,0,3.0,"rear drive access double detached single detached, parking pad,",0,Single Family Detached,"Bungalow, Two Storey, One and a Half, Other",Single Family Detached,1464,0.0
