listing_date,season,mls_number,neighborhood,address,list_price,sold_price,sell_list_ratio,dom,bedrooms,bathrooms,garage_type,house_type,style,type,sqft,lot_size
2025-06-25,Summer,43db030caf,Riverview,34 Arnold Avenue,0.0,0.0,0.0,0,2,1.0,none,Single Family Detached,One and a Half,Single Family Detached,840,0.0
2025-06-25,Summer,ccac87003a,Fort Rouge,211 Morley Avenue,0.0,0.0,0.0,0,3,1.0,none,Single Family Detached,Two Storey,Single Family Detached,1037,9.29
2025-06-25,Summer,83b48cd50b,Fort Rouge,405 Churchill Drive,1958.0,289900.0,148.06,0,2,2.0,Parking pad,Single Family Detached,Bungalow,Single Family Detached,1472,0.0
2025-06-25,Summer,1719b3d86b,Riverview,228 Balfour Avenue,3833.0,349000.0,91.05,0,1,1.5,"detached, double",Single Family Detached,Bungalow,Single Family Detached,860,46.45
2025-06-25,Summer,6d0b239c76,Riverview,271 Wavell Avenue,0.0,0.0,0.0,0,2,1.0,none,Single Family Detached,Bungalow,Single Family Detached,1066,0.0
2025-06-25,Summer,c933f398e2,Riverview,301 Ashland Avenue,0.0,0.0,0.0,0,3,2.0,none,Single Family Detached,Bi-Level,Single Family Detached,1354,0.0
2025-06-25,Summer,7f8a62e37e,Riverview,223 Bartlet Avenue,0.0,0.0,0.0,0,2,1.0,none,Single Family Detached,Bungalow,Single Family Detached,824,0.0
2025-06-25,Summer,fd5ae1a1a0,Riverview,231 Montgomery Avenue,0.0,0.0,0.0,0,2,2.0,none,Single Family Detached,Bungalow,Single Family Detached,864,0.0
2025-06-25,Summer,50bfc12de6,Riverview,174 Montgomery Avenue,0.0,0.0,0.0,0,3,1.0,none,Single Family Detached,Bungalow,Single Family Detached,1012,0.0
2025-06-25,Summer,34735a21d3,Lord Roberts,148 Morley Avenue,4416.0,399900.0,90.56,0,3,1.0,Parking pad,Single Family Detached,Bungalow,Single Family Detached,846,0.0
2025-06-25,Summer,44596673e8,Riverview,315 Ashland Avenue,0.0,0.0,0.0,0,2,2.0,none,Single Family Detached,Bungalow,Single Family Detached,1330,0.0
2025-06-25,Summer,f1f8f9e1e6,Riverview,231 Balfour Avenue,4249.0,419900.0,98.82,0,2,1.5,Parking pad,Single Family Detached,Bungalow,Single Family Detached,840,0.0
2025-06-25,Summer,ffe5b3bee3,Riverview,222 Balfour Avenue,6415.0,569000.0,88.7,0,3,2.5,none,Single Family Detached,Two Storey,Single Family Detached,1850,0.0
2025-06-25,Summer,c571584438,Riverview,116 Clare Avenue,4499.0,388000.0,86.24,0,2,2.0,none,Single Family Detached,One and a Half,Single Family Detached,1227,41.99
2025-06-25,Summer,0c1ca49f8f,Riverview,310 Maplewood Avenue,3892.0,1199800.0,308.27,0,3,3.5,none,Single Family Detached,Two Storey,Single Family Detached,1946,0.0
2025-06-25,Summer,4266d9e6d6,Riverview,115 Baltimore Road,4987.0,444900.0,89.21,0,3,1.5,none,Single Family Detached,One and a Half,Single Family Detached,1200,0.0
2025-06-25,Summer,617f572256,Riverview,316 Baltimore Road,4130.0,569900.0,137.99,0,5,1.5,none,Single Family Detached,,Single Family Detached,2375,0.0
2025-06-25,Summer,7a105f341e,Riverview,137 Ashland Avenue,0.0,0.0,0.0,0,3,3.5,none,Single Family Detached,Two Storey,Single Family Detached,2287,0.0
2025-06-25,Summer,8ff8f43483,Fort Rouge,356 Ashland Avenue,0.0,0.0,0.0,0,2,2.0,none,Single Family Detached,Bungalow,Single Family Detached,1226,0.0
2025-06-25,Summer,894caa7ceb,Riverview,636 Jubilee Avenue,3916.0,419900.0,107.23,0,2,1.0,"Parking pad, rear drive",Single Family Detached,Bungalow,Single Family Detached,885,0.0
2025-06-25,Summer,ee0afcf0a2,Lord Roberts,24 Morley Avenue,4468.0,379900.0,85.03,0,2,2.0,"Parking pad, rear drive",Single Family Detached,Two Storey,Single Family Detached,1400,0.0
2025-06-25,Summer,2e16369743,Fort Rouge,192 Arnold Avenue,2922.0,269900.0,92.37,0,2,1.0,Parking pad,Single Family Detached,One and a Half,Single Family Detached,1080,0.0
2025-06-25,Summer,c6a16d53bc,Fort Rouge,853 Nassau Street,0.0,0.0,0.0,0,2,1.0,none,Single Family Detached,Bungalow,Single Family Detached,800,0.0
2025-06-25,Summer,1de9aaf7c2,Lord Roberts,770 Walker Avenue,3488.0,319899.0,91.71,0,4,1.0,Parking pad,Single Family Detached,One and a Half,Single Family Detached,1147,0.0
2025-06-25,Summer,5e0c7402e6,Lord Roberts,728 Walker Avenue,0.0,0.0,0.0,0,3,2.0,none,Single Family Detached,Bungalow,Single Family Detached,990,91.97
2025-06-25,Summer,b51e97e122,Riverview,339 Arnold Avenue,4004.0,274900.0,68.66,0,2,1.0,none,Single Family Detached,One and a Half,Single Family Detached,980,0.0
2025-06-25,Summer,69f1fb3c64,Lord Roberts,570 Walker Avenue,0.0,0.0,0.0,0,2,2.0,none,Single Family Detached,Two Storey,Single Family Detached,1025,0.0
2025-06-25,Summer,3e2e803483,Fort Rouge,489 Rathgar Avenue,0.0,0.0,0.0,0,4,2.0,none,Single Family Detached,,Single Family Detached,1146,0.0
2025-06-25,Summer,e2676f67d0,Lord Roberts,480 Beresford Avenue,2648.0,219900.0,83.04,0,3,2.0,rear drive,Single Family Detached,,Single Family Detached,1072,0.0
2025-06-25,Summer,126f19f2ad,Lord Roberts,565 Beresford Avenue,0.0,0.0,0.0,0,2,1.0,none,Single Family Detached,Bungalow,Single Family Detached,930,0.0
2025-06-25,Summer,c5615bf7f7,Lord Roberts,473 Beresford Avenue,4050.0,429900.0,106.15,0,3,1.0,none,Single Family Detached,Two Storey,Single Family Detached,1552,0.0
2025-06-25,Summer,85d1bb9f0b,Lord Roberts,567 McNaughton Avenue,4618.0,399900.0,86.6,0,3,1.5,none,Single Family Detached,One and a Half,Single Family Detached,1340,0.0
2025-06-25,Summer,3e2f95391d,Fort Rouge,777 Rathgar Avenue,0.0,0.0,0.0,0,2,1.0,none,Single Family Detached,Bungalow,Single Family Detached,752,0.0
2025-06-25,Summer,625f897715,Lord Roberts,307 Morley Avenue,2828.0,249900.0,88.37,0,3,1.0,none,Single Family Detached,,Single Family Detached,1040,0.0
2025-06-25,Summer,60548c2069,Lord Roberts,590 Walker Avenue,3267.0,349900.0,107.1,0,3,1.0,Parking pad,Single Family Detached,Two Storey,Single Family Detached,1260,0.0
2025-06-25,Summer,a57de9d2dc,Lord Roberts,5 Taft Crescent,3359.0,289900.0,86.31,0,4,1.0,Parking pad,Single Family Detached,Two Storey,Townhouse,1362,0.0
2025-06-25,Summer,54f666bb8c,Lord Roberts,439 Morley Avenue,0.0,0.0,0.0,0,2,1.0,none,Single Family Detached,One and a Half,Single Family Detached,1000,0.0
2025-06-25,Summer,1b12026a01,Lord Roberts,744 Walker Avenue,0.0,0.0,0.0,0,3,1.5,none,Single Family Detached,Two Storey,Single Family Detached,1280,0.0
2025-06-25,Summer,27af599c53,Riverview,311 Arnold Avenue,2993.0,269900.0,90.18,0,2,3.0,Parking pad,Single Family Detached,Two Storey,Single Family Detached,1760,0.0
2025-06-25,Summer,2557eb4210,Fort Rouge,462 Arnold Avenue,0.0,0.0,0.0,0,2,1.0,none,Single Family Detached,Bungalow,Single Family Detached,963,81.75
2025-06-25,Summer,3a3c813418,Lord Roberts,557 Rosedale Avenue,3457.0,299900.0,86.75,0,3,1.5,Parking pad,Single Family Detached,,Single Family Detached,1465,0.0
2025-06-25,Summer,1b9c68f7ed,Lord Roberts,409 Morley Avenue,4349.0,409900.0,94.25,0,2,2.5,none,Single Family Detached,Two Storey,Single Family Detached,1190,0.0
2025-06-25,Summer,eefc486382,Fort Rouge,682 Beresford Avenue,2882.0,229800.0,79.74,0,2,1.0,Parking pad,Single Family Detached,,Single Family Detached,1056,0.0
2025-06-25,Summer,89f02e369c,Lord Roberts,299 Arnold Avenue,0.0,0.0,0.0,0,3,1.0,none,Single Family Detached,Two Storey,Single Family Detached,1194,0.0
2025-06-25,Summer,521a54ba98,Lord Roberts,575 Walker Avenue,3516.0,419000.0,119.17,0,1,1.0,Parking pad,Single Family Detached,Bungalow,Single Family Detached,854,0.0
2025-06-25,Summer,66343ee694,Lord Roberts,450 Arnold Avenue,0.0,0.0,0.0,0,2,1.0,none,Single Family Detached,Bungalow,Single Family Detached,688,0.0
2025-06-25,Summer,0131baa1ef,Fort Rouge,553 Rathgar Avenue,2255.0,229900.0,101.95,0,3,1.0,Parking pad,Single Family Detached,,Single Family Detached,1008,0.0
2025-06-25,Summer,64474f3a75,Lord Roberts,324 Morley Avenue,0.0,0.0,0.0,0,3,1.0,none,Single Family Detached,One and a Half,Single Family Detached,1058,0.0
2025-06-25,Summer,877af9d379,Fort Rouge,572 Hethrington Avenue,1922.0,159900.0,83.19,0,3,3.0,Parking pad,Single Family Detached,Bi-Level,Single Family Detached,1041,0.0
2025-06-25,Summer,d8143cfa18,Fort Rouge,560 Beresford Avenue,2208.0,179900.0,81.48,0,2,1.0,rear drive,Single Family Detached,One and a Half,Single Family Detached,925,0.0
2025-06-25,Summer,94783a0525,Lord Roberts,606 Rosedale Avenue,0.0,0.0,0.0,0,3,1.0,none,Single Family Detached,Bungalow,Single Family Detached,660,0.0
2025-06-25,Summer,548059c16b,Lord Roberts,305 Morley Avenue,2588.0,279900.0,108.15,0,3,1.5,"Parking pad, rear drive",Single Family Detached,,Single Family Detached,1180,0.0
2025-06-25,Summer,e909a30da3,Crescentwood,515 Wardlaw Avenue,0.0,0.0,0.0,0,4,2.0,none,Single Family Detached,,Single Family Detached,2018,0.0
2025-06-25,Summer,43225d9bc9,Crescentwood,940 Garwood Avenue,4810.0,599990.0,124.74,0,4,2.0,Parking pad,Single Family Detached,One and a Half,Single Family Detached,1145,0.0
2025-06-25,Summer,be74c3bc27,Crescentwood,814 Dudley Avenue,0.0,0.0,0.0,0,4,1.5,none,Single Family Detached,One and a Half,Single Family Detached,1200,0.0
2025-06-25,Summer,051d567216,Crescentwood,768 Garwood Avenue,0.0,0.0,0.0,0,2,1.0,none,Single Family Detached,Bungalow,Single Family Detached,638,0.0
2025-06-25,Summer,c928a43d8f,Osborne Village,569 Fleet Avenue,4151.0,339900.0,81.88,0,3,2.0,none,Single Family Detached,Two Storey,Single Family Detached,1200,0.0
2025-06-25,Summer,02a1f30b02,Crescentwood,1149 McMillan Avenue,4299.0,339900.0,79.06,0,1,2.0,none,Single Family Detached,Bungalow,Single Family Detached,700,0.0
2025-06-25,Summer,cd32e2e565,Crescentwood,724 Ebby Avenue,0.0,0.0,0.0,0,2,1.0,none,Single Family Detached,Bungalow,Single Family Detached,700,0.0
2025-06-25,Summer,549350182b,Crescentwood,805 Dudley Avenue,0.0,0.0,0.0,0,2,2.0,none,Single Family Detached,One and a Half,Single Family Detached,1120,0.0
2025-06-25,Summer,8dd9529e8c,Osborne Village,742 Weatherdon Avenue,3893.0,349900.0,89.88,0,2,1.0,Parking pad,Single Family Detached,One and a Half,Single Family Detached,981,0.0
2025-06-25,Summer,8cfcf87428,Crescentwood,608 Fleet Avenue,0.0,0.0,0.0,0,3,1.5,none,Single Family Detached,Bungalow,Single Family Detached,991,0.0
2025-06-25,Summer,a37f9c0e3b,Crescentwood,593 Fleet Avenue,0.0,0.0,0.0,0,2,1.0,none,Single Family Detached,One and a Half,Single Family Detached,832,0.0
2025-06-25,Summer,e67df5c876,Crescentwood,857 Lorette Avenue,0.0,0.0,0.0,0,2,1.0,none,Single Family Detached,One and a Half,Single Family Detached,880,0.0
2025-06-25,Summer,9c45d19344,Crescentwood,791 Lorette Avenue,0.0,0.0,0.0,0,2,1.0,none,Single Family Detached,One and a Half,Single Family Detached,936,0.0
2025-06-25,Summer,ebeabcdffd,Crescentwood,734 Dudley Avenue,3207.0,279900.0,87.28,0,3,2.0,Parking pad,Single Family Detached,One and a Half,Single Family Detached,1152,0.0
2025-06-25,Summer,1754aeae14,Crescentwood,575 Fleet Avenue,0.0,0.0,0.0,0,3,0.5,none,Single Family Detached,Two Storey,Single Family Detached,1200,0.0
2025-06-25,Summer,69f6e16b3a,Osborne Village,836 Hector Avenue,0.0,0.0,0.0,0,3,1.0,none,Single Family Detached,One and a Half,Single Family Detached,1330,0.0
